country,year,GDP,life_expectancy,pop,decade,region
Guatemala,1869,1281,25.8110400000001,963300,1860,America
Guernsey,1869,NA,NA,NA,1860,Europe & Central Asia
Guinea,1869,499,30.2137931034482,1401319,1860,Sub-Saharan Africa
Guinea-Bissau,1869,811,32,286188,1860,Sub-Saharan Africa
Guyana,1869,1694,31.12,218524,1860,America
Haiti,1869,1046,29,1042297,1860,America
Holy See,1869,NA,NA,906,1860,Europe & Central Asia
Honduras,1869,1265,33.9,377151,1860,America
"Hong Kong, China",1869,1127,34.9,68983,1860,East Asia & Pacific
Hungary,1869,1835,36,5529257,1860,Europe & Central Asia
Iceland,1869,1582,28.03,79662,1860,Europe & Central Asia
India,1869,1058,21.3044734895,204966302,1860,South Asia
Indonesia,1869,1073,30,24209376,1860,East Asia & Pacific
Iran,1869,1075,25.6,7986219,1860,Middle East & North Africa
Iraq,1869,1188,31.2,1468222,1860,Middle East & North Africa
Ireland,1869,2916,40.9428571428571,4174177,1860,Europe & Central Asia
Isle of Man,1869,NA,NA,30635,1860,Europe & Central Asia
Israel,1869,889,32,229141,1860,Middle East & North Africa
Italy,1869,2521,29.69,26127905,1860,Europe & Central Asia
Jamaica,1869,904,34.2,447153,1860,America
Japan,1869,1208,36.55928,33176900,1860,East Asia & Pacific
Jersey,1869,NA,NA,NA,1860,Europe & Central Asia
Jordan,1869,1196,31.7,254044,1860,Middle East & North Africa
Kazakhstan,1869,1602,23.624,2946007,1860,Europe & Central Asia
Kenya,1869,1059,25.5,2585052,1860,Sub-Saharan Africa
Kiribati,1869,586,24.9,20867,1860,East Asia & Pacific
North Korea,1869,540,26,4542395,1860,NA
South Korea,1869,537,25.8,9650608,1860,NA
"United Korea (former)
",1869,NA,NA,NA,NA,NA
Kosovo,1869,NA,NA,NA,1860,Europe & Central Asia
Kuwait,1869,1420,26,81014,1860,Middle East & North Africa
Kyrgyz Republic,1869,783,21.365,765414,1860,NA
Lao,1869,974,31.9,687183,1860,NA
Latvia,1869,1055,35.9886,854350,1860,Europe & Central Asia
Lebanon,1869,1537,29.7,438438,1860,Middle East & North Africa
Lesotho,1869,409,32.8,373508,1860,Sub-Saharan Africa
Liberia,1869,912,31.1,437090,1860,Sub-Saharan Africa
Libya,1869,1919,33.1,665152,1860,Middle East & North Africa
Liechtenstein,1869,NA,NA,7571,1860,Europe & Central Asia
Lithuania,1869,1785,28.9,1126227,1860,Europe & Central Asia
Luxembourg,1869,2600,36.9,164944,1860,Europe & Central Asia
"Macao, China",1869,1175,34.7,68345,1860,East Asia & Pacific
"Macedonia, FYR",1869,952,36.1,558999,1860,Europe & Central Asia
Madagascar,1869,728,30.5,2211039,1860,Sub-Saharan Africa
Malawi,1869,354,30.3,741675,1860,Sub-Saharan Africa
Malaysia,1869,1105,30.6,655673,1860,East Asia & Pacific
Maldives,1869,841,32.647,52965,1860,South Asia
Mali,1869,614,26.408,2034750,1860,Sub-Saharan Africa
Malta,1869,1228,28.7,174027,1860,Europe & Central Asia
Marshall Islands,1869,562,NA,7461,1860,East Asia & Pacific
Martinique,1869,NA,30.153,113411,1860,America
Mauritania,1869,670,32,452032,1860,Sub-Saharan Africa
Mauritius,1869,1194,26.4518641656642,279009,1860,Sub-Saharan Africa
Mayotte,1869,NA,32.5,9906,1860,Sub-Saharan Africa
Mexico,1869,1240,26.9,8432207,1860,America
"Micronesia, Fed. Sts.",1869,540,26.7,20130,1860,East Asia & Pacific
Moldova,1869,813,33.145,1028627,1860,Europe & Central Asia
Monaco,1869,3535,NA,10428,1860,Europe & Central Asia
Mongolia,1869,645,31.8,657420,1860,East Asia & Pacific
Montenegro,1869,1459,35.4,180155,1860,Europe & Central Asia
Montserrat,1869,NA,NA,7651,1860,America
Morocco,1869,781,33.1,3531477,1860,Middle East & North Africa
Mozambique,1869,406,30.2770800000001,2955262,1860,Sub-Saharan Africa
Myanmar,1869,849,30.8,4096564,1860,East Asia & Pacific
Namibia,1869,1126,32.4,229599,1860,Sub-Saharan Africa
Nauru,1869,703,NA,2121,1860,East Asia & Pacific
Nepal,1869,661,32.8,4542078,1860,South Asia
Netherlands,1869,5107,40.47,3342346,1860,Europe & Central Asia
Netherlands Antilles,1869,NA,34.408,NA,1860,America
New Caledonia,1869,NA,26,37578,1860,East Asia & Pacific
New Zealand,1869,4984,34.05,157114,1860,East Asia & Pacific
Ngorno-Karabakh,1869,NA,NA,NA,1860,Europe & Central Asia
Nicaragua,1869,1642,25.4,375911,1860,America
Niger,1869,567,30.8,1543423,1860,Sub-Saharan Africa
Nigeria,1869,1102,30.4,14374142,1860,Sub-Saharan Africa
Niue,1869,NA,NA,4516,1860,East Asia & Pacific
Norfolk Island,1869,NA,NA,NA,1860,East Asia & Pacific
Northern Cyprus,1869,NA,NA,NA,1860,Europe & Central Asia
Northern Mariana Islands,1869,NA,NA,4212,1860,East Asia & Pacific
Norway,1869,2492,49.25,1580366,1860,Europe & Central Asia
Oman,1869,1125,32.3,356413,1860,Middle East & North Africa
Pakistan,1869,1026,25.8,15586758,1860,South Asia
Palau,1869,993,NA,4738,1860,East Asia & Pacific
Panama,1869,1476,32.9,154637,1860,America
Papua New Guinea,1869,647,31.5,970939,1860,East Asia & Pacific
Paraguay,1869,1546,35.5,367617,1860,America
Peru,1869,1374,35.7,2294268,1860,America
Philippines,1869,1037,30.9,3746791,1860,East Asia & Pacific
Pitcairn,1869,NA,NA,NA,1860,East Asia & Pacific
Poland,1869,1578,35.9,14848599,1860,Europe & Central Asia
Portugal,1869,1778,35.6,4039181,1860,Europe & Central Asia
Puerto Rico,1869,1799,30.43,575756,1860,America
Qatar,1869,1420,30.8,14031,1860,Middle East & North Africa
Reunion,1869,NA,33,125440,1860,Sub-Saharan Africa
Romania,1869,1598,35.7,8568953,1860,Europe & Central Asia
Russia,1869,2010,27.9349122795669,44966686,1860,Europe & Central Asia
Rwanda,1869,470,31.8,1197896,1860,Sub-Saharan Africa
St. Barthélemy,1869,NA,NA,NA,1860,NA
St. Helena,1869,NA,NA,6418,1860,NA
St. Kitts and Nevis,1869,1625,NA,23321,1860,NA
St. Lucia,1869,1030,28.008,27133,1860,NA
St. Martin,1869,NA,NA,NA,1860,NA
St. Vincent and the Grenadines,1869,1169,25.986,32213,1860,NA
St.-Pierre-et-Miquelon,1869,NA,NA,2384,1860,NA
Samoa,1869,1658,25.4,43781,1860,East Asia & Pacific
San Marino,1869,1766,NA,7126,1860,Europe & Central Asia
Sao Tome and Principe,1869,966,31,30707,1860,Sub-Saharan Africa
Saudi Arabia,1869,911,32.1,2284384,1860,Middle East & North Africa
Senegal,1869,632,25.2,1326001,1860,Sub-Saharan Africa
Serbia,1869,1874,35.5,3055165,1860,Europe & Central Asia
Serbia and Montenegro,1869,NA,NA,NA,1860,Europe & Central Asia
Serbia excluding Kosovo,1869,NA,NA,NA,1860,Europe & Central Asia
Seychelles,1869,1040,37,14379,1860,Sub-Saharan Africa
Sierra Leone,1869,932,25.1,1042482,1860,Sub-Saharan Africa
Singapore,1869,1142,34,69094,1860,East Asia & Pacific
Slovak Republic,1869,1969,36.4,2475264,1860,Europe & Central Asia
Slovenia,1869,1944,36.6,668599,1860,Europe & Central Asia
Solomon Islands,1869,433,25.1,66648,1860,East Asia & Pacific
Somalia,1869,741,29.4,1285806,1860,Sub-Saharan Africa
Somaliland,1869,NA,NA,NA,1860,Sub-Saharan Africa
South Africa,1869,1579,33.5,2310179,1860,Sub-Saharan Africa
South Ossetia,1869,NA,NA,NA,1860,Europe & Central Asia
Spain,1869,1798,29.5,15609406,1860,Europe & Central Asia
Sri Lanka,1869,1376,32.6,2493854,1860,South Asia
Sudan,1869,659,31.4,4739424,1860,Sub-Saharan Africa
Suriname,1869,2283,32.9,109079,1860,America
Svalbard,1869,NA,NA,NA,1860,Europe & Central Asia
Swaziland,1869,622,32.3,86296,1860,Sub-Saharan Africa
Sweden,1869,1989,40.96,3809535,1860,Europe & Central Asia
Switzerland,1869,5536,38,2511573,1860,Europe & Central Asia
Syria,1869,1153,31.1,1529203,1860,Middle East & North Africa
Taiwan,1869,1006,28.3,NA,1860,East Asia & Pacific
Tajikistan,1869,739,21.659,672986,1860,Europe & Central Asia
Tanzania,1869,643,32.2,3473380,1860,Sub-Saharan Africa
Thailand,1869,1002,30.4,5516868,1860,East Asia & Pacific
Timor-Leste,1869,597,28.949,213713,1860,East Asia & Pacific
Togo,1869,867,31.3,633981,1860,Sub-Saharan Africa
Tokelau,1869,NA,NA,820,1860,East Asia & Pacific
Tonga,1869,785,28.2,18778,1860,East Asia & Pacific
Transnistria,1869,NA,NA,NA,1860,Europe & Central Asia
Trinidad and Tobago,1869,1609,38.8,100774,1860,America
Tunisia,1869,908,28.8,1112651,1860,Middle East & North Africa
Turkey,1869,1588,35,11428718,1860,Europe & Central Asia
Turkmenistan,1869,1325,19.88,530801,1860,Europe & Central Asia
Turks and Caicos Islands,1869,679,NA,4354,1860,America
Tuvalu,1869,851,NA,3126,1860,East Asia & Pacific
Uganda,1869,589,25.3,2399360,1860,Sub-Saharan Africa
Ukraine,1869,1072,36.6,16253669,1860,Europe & Central Asia
United Arab Emirates,1869,1291,30.7,40222,1860,Middle East & North Africa
United Kingdom,1869,5843,41.67,24783522,1860,Europe & Central Asia
United States,1869,4175,39.41,31936643,1860,America
Uruguay,1869,5563,32.9,221925,1860,America
USSR,1869,NA,NA,NA,1860,Europe & Central Asia
Uzbekistan,1869,586,24.35,2812219,1860,Europe & Central Asia
Wallis et Futuna,1869,NA,NA,4520,1860,East Asia & Pacific
Vanuatu,1869,693,24.3,32791,1860,East Asia & Pacific
Venezuela,1869,850,32.2,1500530,1860,America
West Bank and Gaza,1869,1233,32.1,181738,1860,Middle East & North Africa
West Germany,1869,NA,NA,NA,1860,Europe & Central Asia
Western Sahara,1869,NA,34.753,4536,1860,Middle East & North Africa
Vietnam,1869,835,32,9411019,1860,East Asia & Pacific
Virgin Islands (U.S.),1869,NA,33.403,38020,1860,America
North Yemen (former),1869,NA,NA,NA,1860,NA
South Yemen (former),1869,NA,NA,NA,1860,NA
Yemen,1869,1066,23.387,2796168,1860,NA
Yugoslavia,1869,NA,NA,NA,1860,Europe & Central Asia
Zambia,1869,784,32.6,746052,1860,Sub-Saharan Africa
Zimbabwe,1869,944,33.7,1444385,1860,Sub-Saharan Africa
Åland,1869,NA,NA,NA,1860,Europe & Central Asia
South Sudan,1869,644,26.665,1329906,1860,Sub-Saharan Africa
Abkhazia,1870,NA,NA,NA,1870,Europe & Central Asia
Afghanistan,1870,716,27.4937333333333,4169690,1870,South Asia
Akrotiri and Dhekelia,1870,NA,NA,NA,1870,Europe & Central Asia
Albania,1870,750,35.4,610036,1870,Europe & Central Asia
Algeria,1870,1264,22,3811028,1870,Middle East & North Africa
American Samoa,1870,NA,NA,7057,1870,East Asia & Pacific
Andorra,1870,2242,NA,3654,1870,Europe & Central Asia
Angola,1870,840,26.98,2285417,1870,Sub-Saharan Africa
Anguilla,1870,NA,NA,2888,1870,America
Antigua and Barbuda,1870,1063,33.536,35546,1870,America
Argentina,1870,3072,33.2,1856886,1870,America
Armenia,1870,625,31.463,652450,1870,Europe & Central Asia
Aruba,1870,1170,34.419,25063,1870,America
Australia,1870,5431,34.05,1724213,1870,East Asia & Pacific
Austria,1870,3439,34.4,4556658,1870,Europe & Central Asia
Azerbaijan,1870,1026,26.633,1391460,1870,Europe & Central Asia
Bahamas,1870,2030,35.179,38787,1870,America
Bahrain,1870,1921,30.3,65422,1870,Middle East & North Africa
Bangladesh,1870,881,25.5,24757994,1870,South Asia
Barbados,1870,1283,32.124,161206,1870,America
Belarus,1870,822,36.2,3733161,1870,Europe & Central Asia
Belgium,1870,4990,40.92,5110891,1870,Europe & Central Asia
Belize,1870,813,26.5,25745,1870,America
Benin,1870,762,31,1038118,1870,Sub-Saharan Africa
Bermuda,1870,1724,NA,12414,1870,America
Bhutan,1870,697,28.799,115908,1870,South Asia
Bolivia,1870,1374,33,1538001,1870,America
Bosnia and Herzegovina,1870,790,35.1,1320249,1870,Europe & Central Asia
Botswana,1870,507,33.6,121600,1870,Sub-Saharan Africa
Brazil,1870,1488,31.9864666666668,9964419,1870,America
British Virgin Islands,1870,NA,NA,6403,1870,America
Brunei,1870,1797,29.2,6184,1870,East Asia & Pacific
Bulgaria,1870,1397,38.8799999999998,2677708,1870,Europe & Central Asia
Burkina Faso,1870,509,29.2,2397003,1870,Sub-Saharan Africa
Burundi,1870,446,31.5,1299471,1870,Sub-Saharan Africa
Cambodia,1870,976,35,2376103,1870,East Asia & Pacific
Cameroon,1870,799,28.75,2158809,1870,Sub-Saharan Africa
Canada,1870,2815,42.460624,3817167,1870,America
Cape Verde,1870,657,33.8,87122,1870,Sub-Saharan Africa
Cayman Islands,1870,1459,NA,3646,1870,America
Central African Republic,1870,541,30,610299,1870,NA
Chad,1870,534,30.9,1447743,1870,Sub-Saharan Africa
Channel Islands,1870,NA,NA,60819,1870,Europe & Central Asia
Chile,1870,1929,32,1957051,1870,America
China,1870,1099,31.9571428571429,363661158,1870,East Asia & Pacific
Christmas Island,1870,NA,NA,NA,1870,East Asia & Pacific
Cocos Island,1870,NA,NA,NA,1870,East Asia & Pacific
Colombia,1870,1099,32,2482542,1870,America
Comoros,1870,747,32.1,83370,1870,Sub-Saharan Africa
"Congo, Dem. Rep.",1870,647,31.6,7179175,1870,Sub-Saharan Africa
"Congo, Rep.",1870,701,32.7,451853,1870,Sub-Saharan Africa
Cook Is,1870,NA,NA,12732,1870,NA
Costa Rica,1870,1359,30.2147,138409,1870,America
Cote d'Ivoire,1870,1075,31.156,1526047,1870,Sub-Saharan Africa
Croatia,1870,1865,36.1,1908823,1870,Europe & Central Asia
Cuba,1870,1946,29.66,1424672,1870,America
Cyprus,1870,1546,38.5088421052631,185971,1870,Europe & Central Asia
Czech Republic,1870,2653,34.9544,6627668,1870,NA
Czechoslovakia,1870,NA,NA,NA,1870,Europe & Central Asia
Denmark,1870,3536,46.06,1887120,1870,Europe & Central Asia
Djibouti,1870,938,29.9,33526,1870,Middle East & North Africa
Dominica,1870,931,NA,26589,1870,America
Dominican Republic,1870,877,29.9,246693,1870,NA
East Germany,1870,NA,NA,NA,1870,Europe & Central Asia
Ecuador,1870,731,32.9,1028649,1870,America
Egypt,1870,999,33,7040615,1870,Middle East & North Africa
El Salvador,1870,1487,28.7,494137,1870,America
Equatorial Guinea,1870,390,29.8,95032,1870,Sub-Saharan Africa
Eritrea,1870,606,30.2,397927,1870,Sub-Saharan Africa
Eritrea and Ethiopia,1870,NA,NA,NA,1870,Sub-Saharan Africa
Estonia,1870,1326,41.2548949113052,529246,1870,Europe & Central Asia
Ethiopia,1870,533,29.7,5956559,1870,Sub-Saharan Africa
Faeroe Islands,1870,NA,NA,18772,1870,Europe & Central Asia
Falkland Is (Malvinas),1870,NA,NA,191,1870,NA
Fiji,1870,933,26.1,130491,1870,East Asia & Pacific
Finland,1870,1897,45.6614069937899,1847468,1870,Europe & Central Asia
France,1870,3297,36.41,38170355,1870,Europe & Central Asia
French Guiana,1870,NA,30.5,14223,1870,America
French Polynesia,1870,NA,25.6,46425,1870,East Asia & Pacific
Gabon,1870,394,30.6,241457,1870,Sub-Saharan Africa
Gambia,1870,848,28.8,149924,1870,Sub-Saharan Africa
Georgia,1870,690,29.339,1696367,1870,Europe & Central Asia
Germany,1870,2819,38.37,39702235,1870,Europe & Central Asia
Ghana,1870,736,28,1625206,1870,Sub-Saharan Africa
Gibraltar,1870,NA,NA,13082,1870,Europe & Central Asia
Greece,1870,1963,36.6,3655056,1870,Europe & Central Asia
Greenland,1870,672,33.8672183450302,13414,1870,Europe & Central Asia
Grenada,1870,1188,37.3,37009,1870,America
Guadeloupe,1870,NA,27.655,116631,1870,America
Guam,1870,NA,27.5,20985,1870,East Asia & Pacific
Guatemala,1870,1291,25.8112000000001,1077038,1870,America
Guernsey,1870,NA,NA,NA,1870,Europe & Central Asia
Guinea,1870,500,30.2241379310344,1529932,1870,Sub-Saharan Africa
Guinea-Bissau,1870,812,32,307224,1870,Sub-Saharan Africa
Guyana,1870,1705,31.12,233706,1870,America
Haiti,1870,1056,29,1155908,1870,America
Holy See,1870,NA,NA,907,1870,Europe & Central Asia
Honduras,1870,1281,33.9,405947,1870,America
"Hong Kong, China",1870,1130,34.9,116126,1870,East Asia & Pacific
Hungary,1870,1849,36,5899196,1870,Europe & Central Asia
Iceland,1870,1599,38.37,84941,1870,Europe & Central Asia
India,1870,1058,25.4424,213725049,1870,South Asia
Indonesia,1870,1075,30,27062539,1870,East Asia & Pacific
Iran,1870,1077,25.6,8397441,1870,Middle East & North Africa
Iraq,1870,1193,31.2,1598592,1870,Middle East & North Africa
Ireland,1870,2958,41.2071428571428,3875492,1870,Europe & Central Asia
Isle of Man,1870,NA,NA,32724,1870,Europe & Central Asia
Israel,1870,889,32,252622,1870,Middle East & North Africa
Italy,1870,2643,29.69,27845334,1870,Europe & Central Asia
Jamaica,1870,903,34.2,501444,1870,America
Japan,1870,1213,36.59264,34638021,1870,East Asia & Pacific
Jersey,1870,NA,NA,NA,1870,Europe & Central Asia
Jordan,1870,1201,31.7,264678,1870,Middle East & North Africa
Kazakhstan,1870,1612,23.668,3226542,1870,Europe & Central Asia
Kenya,1870,1063,25.5,2596105,1870,Sub-Saharan Africa
Kiribati,1870,586,24.9,22287,1870,East Asia & Pacific
North Korea,1870,539,26,4656353,1870,NA
South Korea,1870,536,25.8,9741935,1870,NA
"United Korea (former)
",1870,NA,NA,NA,NA,NA
Kosovo,1870,NA,NA,NA,1870,Europe & Central Asia
Kuwait,1870,1426,26,81947,1870,Middle East & North Africa
Kyrgyz Republic,1870,790,21.409,838486,1870,NA
Lao,1870,977,31.9,764785,1870,NA
Latvia,1870,1062,36.3206666666667,936818,1870,Europe & Central Asia
Lebanon,1870,1547,29.7,465945,1870,Middle East & North Africa
Lesotho,1870,409,32.8,402517,1870,Sub-Saharan Africa
Liberia,1870,914,31.1,475766,1870,Sub-Saharan Africa
Libya,1870,1943,33.1,707627,1870,Middle East & North Africa
Liechtenstein,1870,NA,NA,8088,1870,Europe & Central Asia
Lithuania,1870,1796,28.9,1234990,1870,Europe & Central Asia
Luxembourg,1870,2631,36.9,176056,1870,Europe & Central Asia
"Macao, China",1870,1179,34.7,78755,1870,East Asia & Pacific
"Macedonia, FYR",1870,956,36.1,611581,1870,Europe & Central Asia
Madagascar,1870,731,30.5,2365391,1870,Sub-Saharan Africa
Malawi,1870,354,30.3,746350,1870,Sub-Saharan Africa
Malaysia,1870,1108,30.6,839427,1870,East Asia & Pacific
Maldives,1870,841,32.647,55543,1870,South Asia
Mali,1870,615,26.408,2235477,1870,Sub-Saharan Africa
Malta,1870,1239,28.7,185742,1870,Europe & Central Asia
Marshall Islands,1870,563,NA,7932,1870,East Asia & Pacific
Martinique,1870,NA,30.153,122188,1870,America
Mauritania,1870,673,32,471145,1870,Sub-Saharan Africa
Mauritius,1870,1200,39.2922239202946,332456,1870,Sub-Saharan Africa
Mayotte,1870,NA,32.5,10364,1870,Sub-Saharan Africa
Mexico,1870,1237,26.9,9338206,1870,America
"Micronesia, Fed. Sts.",1870,541,26.7,21150,1870,East Asia & Pacific
Moldova,1870,817,33.145,1126725,1870,Europe & Central Asia
Monaco,1870,3576,NA,11221,1870,Europe & Central Asia
Mongolia,1870,646,31.8,667671,1870,East Asia & Pacific
Montenegro,1870,1465,35.4,196497,1870,Europe & Central Asia
Montserrat,1870,NA,NA,8578,1870,America
Morocco,1870,782,33.1,3782586,1870,Middle East & North Africa
Mozambique,1870,407,30.2770666666668,3211221,1870,Sub-Saharan Africa
Myanmar,1870,849,30.8,4574586,1870,East Asia & Pacific
Namibia,1870,1142,32.4,230198,1870,Sub-Saharan Africa
Nauru,1870,707,NA,2196,1870,East Asia & Pacific
Nepal,1870,661,32.8,4754129,1870,South Asia
Netherlands,1870,5262,37.34,3622598,1870,Europe & Central Asia
Netherlands Antilles,1870,NA,34.408,NA,1870,America
New Caledonia,1870,NA,26,39960,1870,East Asia & Pacific
New Zealand,1870,5156,34.05,301045,1870,East Asia & Pacific
Ngorno-Karabakh,1870,NA,NA,NA,1870,Europe & Central Asia
Nicaragua,1870,1659,25.4,405582,1870,America
Niger,1870,569,30.8,1634127,1870,Sub-Saharan Africa
Nigeria,1870,1108,30.4,15015256,1870,Sub-Saharan Africa
Niue,1870,NA,NA,4532,1870,East Asia & Pacific
Norfolk Island,1870,NA,NA,NA,1870,East Asia & Pacific
Northern Cyprus,1870,NA,NA,NA,1870,Europe & Central Asia
Northern Mariana Islands,1870,NA,NA,4455,1870,East Asia & Pacific
Norway,1870,2483,50.86,1746718,1870,Europe & Central Asia
Oman,1870,1130,32.3,368037,1870,Middle East & North Africa
Pakistan,1870,1027,25.8,16199658,1870,South Asia
Palau,1870,997,NA,4981,1870,East Asia & Pacific
Panama,1870,1492,32.9,176627,1870,America
Papua New Guinea,1870,649,31.5,1033573,1870,East Asia & Pacific
Paraguay,1870,1565,35.5,385864,1870,America
Peru,1870,1377,35.7,2616789,1870,America
Philippines,1870,1039,30.9,4382416,1870,East Asia & Pacific
Pitcairn,1870,NA,NA,NA,1870,East Asia & Pacific
Poland,1870,1584,35.9,17013787,1870,Europe & Central Asia
Portugal,1870,1798,35.6,4328374,1870,Europe & Central Asia
Puerto Rico,1870,1809,30.43,659930,1870,America
Qatar,1870,1426,30.8,14177,1870,Middle East & North Africa
Reunion,1870,NA,33,135054,1870,Sub-Saharan Africa
Romania,1870,1620,35.7,9151343,1870,Europe & Central Asia
Russia,1870,2023,31.1208260426202,49288504,1870,Europe & Central Asia
Rwanda,1870,471,31.8,1283278,1870,Sub-Saharan Africa
St. Barthélemy,1870,NA,NA,NA,1870,NA
St. Helena,1870,NA,NA,6160,1870,NA
St. Kitts and Nevis,1870,1636,NA,25164,1870,NA
St. Lucia,1870,1034,28.008,31938,1870,NA
St. Martin,1870,NA,NA,NA,1870,NA
St. Vincent and the Grenadines,1870,1177,25.986,35791,1870,NA
St.-Pierre-et-Miquelon,1870,NA,NA,2563,1870,NA
Samoa,1870,1664,25.4,40833,1870,East Asia & Pacific
San Marino,1870,1779,NA,7603,1870,Europe & Central Asia
Sao Tome and Principe,1870,968,31,33124,1870,Sub-Saharan Africa
Saudi Arabia,1870,912,32.1,2339375,1870,Middle East & North Africa
Senegal,1870,635,25.2,1422397,1870,Sub-Saharan Africa
Serbia,1870,1881,35.5,3334681,1870,Europe & Central Asia
Serbia and Montenegro,1870,NA,NA,NA,1870,Europe & Central Asia
Serbia excluding Kosovo,1870,NA,NA,NA,1870,Europe & Central Asia
Seychelles,1870,1044,37,14884,1870,Sub-Saharan Africa
Sierra Leone,1870,937,25.1,1118510,1870,Sub-Saharan Africa
Singapore,1870,1145,34,87515,1870,East Asia & Pacific
Slovak Republic,1870,1976,36.4,2565369,1870,Europe & Central Asia
Slovenia,1870,1951,36.6,730072,1870,Europe & Central Asia
Solomon Islands,1870,434,25.1,68010,1870,East Asia & Pacific
Somalia,1870,742,29.4,1368164,1870,Sub-Saharan Africa
Somaliland,1870,NA,NA,NA,1870,Sub-Saharan Africa
South Africa,1870,1696,33.5,2629836,1870,Sub-Saharan Africa
South Ossetia,1870,NA,NA,NA,1870,Europe & Central Asia
Spain,1870,1837,29.5,16226123,1870,Europe & Central Asia
Sri Lanka,1870,1405,32.6,2775272,1870,South Asia
Sudan,1870,662,31.4,4785897,1870,Sub-Saharan Africa
Suriname,1870,2298,32.9,117453,1870,America
Svalbard,1870,NA,NA,NA,1870,Europe & Central Asia
Swaziland,1870,625,32.3,86592,1870,Sub-Saharan Africa
Sweden,1870,2243,45.01,4174365,1870,Europe & Central Asia
Switzerland,1870,5263,38,2663904,1870,Europe & Central Asia
Syria,1870,1154,31.1,1589363,1870,Middle East & North Africa
Taiwan,1870,1006,28.3,NA,1870,East Asia & Pacific
Tajikistan,1870,743,21.703,736654,1870,Europe & Central Asia
Tanzania,1870,645,32.2,3592601,1870,Sub-Saharan Africa
Thailand,1870,1004,30.4,5852505,1870,East Asia & Pacific
Timor-Leste,1870,598,28.949,238455,1870,East Asia & Pacific
Togo,1870,871,31.3,691667,1870,Sub-Saharan Africa
Tokelau,1870,NA,NA,667,1870,East Asia & Pacific
Tonga,1870,787,28.2,19059,1870,East Asia & Pacific
Transnistria,1870,NA,NA,NA,1870,Europe & Central Asia
Trinidad and Tobago,1870,1618,38.8,127290,1870,America
Tunisia,1870,912,28.8,1200115,1870,Middle East & North Africa
Turkey,1870,1597,35,11871788,1870,Europe & Central Asia
Turkmenistan,1870,1334,19.924,581677,1870,Europe & Central Asia
Turks and Caicos Islands,1870,683,NA,4593,1870,America
Tuvalu,1870,854,NA,3304,1870,East Asia & Pacific
Uganda,1870,592,25.3,2479244,1870,Sub-Saharan Africa
Ukraine,1870,1079,36.6,17822740,1870,Europe & Central Asia
United Arab Emirates,1870,1296,30.7,40889,1870,Middle East & North Africa
United Kingdom,1870,6046,40.95,27651628,1870,Europe & Central Asia
United States,1870,4058,39.41,40821569,1870,America
Uruguay,1870,5695,32.9,337169,1870,America
USSR,1870,NA,NA,NA,1870,Europe & Central Asia
Uzbekistan,1870,587,24.394,3125228,1870,Europe & Central Asia
Wallis et Futuna,1870,NA,NA,4744,1870,East Asia & Pacific
Vanuatu,1870,696,24.3,34145,1870,East Asia & Pacific
Venezuela,1870,854,32.2,1719628,1870,America
West Bank and Gaza,1870,1233,32.1,201057,1870,Middle East & North Africa
West Germany,1870,NA,NA,NA,1870,Europe & Central Asia
Western Sahara,1870,NA,34.753,5091,1870,Middle East & North Africa
Vietnam,1870,834,32,10284238,1870,East Asia & Pacific
Virgin Islands (U.S.),1870,NA,33.403,36892,1870,America
North Yemen (former),1870,NA,NA,NA,1870,NA
South Yemen (former),1870,NA,NA,NA,1870,NA
Yemen,1870,1069,23.387,2866728,1870,NA
Yugoslavia,1870,NA,NA,NA,1870,Europe & Central Asia
Zambia,1870,786,32.6,745105,1870,Sub-Saharan Africa
Zimbabwe,1870,945,33.7,1549480,1870,Sub-Saharan Africa
Åland,1870,NA,NA,NA,1870,Europe & Central Asia
South Sudan,1870,648,26.665,1462765,1870,Sub-Saharan Africa
Abkhazia,1871,NA,NA,NA,1870,Europe & Central Asia
Afghanistan,1871,719,27.4834866666666,4169690,1870,South Asia
Akrotiri and Dhekelia,1871,NA,NA,NA,1870,Europe & Central Asia
Albania,1871,761,35.4,610036,1870,Europe & Central Asia
Algeria,1871,1278,28.8224,3811028,1870,Middle East & North Africa
American Samoa,1871,NA,NA,7057,1870,East Asia & Pacific
Andorra,1871,2268,NA,3654,1870,Europe & Central Asia
Angola,1871,844,26.98,2285417,1870,Sub-Saharan Africa
Anguilla,1871,NA,NA,2888,1870,America
Antigua and Barbuda,1871,1070,33.536,35546,1870,America
Argentina,1871,3115,33.2,1856886,1870,America
Armenia,1871,627,31.507,652450,1870,Europe & Central Asia
Aruba,1871,1178,34.419,25063,1870,America
Australia,1871,5473,34.5792156862745,1724213,1870,East Asia & Pacific
Austria,1871,3662,34.4545454545455,4556658,1870,Europe & Central Asia
Azerbaijan,1871,1032,26.677,1391460,1870,Europe & Central Asia
Bahamas,1871,2043,35.179,38787,1870,America
Bahrain,1871,1943,30.3,65422,1870,Middle East & North Africa
Bangladesh,1871,883,25.5,24757994,1870,South Asia
Barbados,1871,1292,32.124,161206,1870,America
Belarus,1871,826,36.2,3733161,1870,Europe & Central Asia
Belgium,1871,4974,34.35,5110891,1870,Europe & Central Asia
Belize,1871,818,26.5,25745,1870,America
Benin,1871,765,31,1038118,1870,Sub-Saharan Africa
Bermuda,1871,1735,NA,12414,1870,America
Bhutan,1871,698,28.799,115908,1870,South Asia
