country,year,GDP,life_expectancy,pop,decade,region
Israel,1800,879,32,209954,1800,Middle East & North Africa
Italy,1800,2225,29.69,18822234,1800,Europe & Central Asia
Jamaica,1800,1170,34.2,401000,1800,America
Japan,1800,1050,36.4,30294378,1800,East Asia & Pacific
Jersey,1800,NA,NA,NA,1800,Europe & Central Asia
Jordan,1800,976,31.7,217000,1800,Middle East & North Africa
Kazakhstan,1800,1140,26.2,2041282,1800,Europe & Central Asia
Kenya,1800,854,25.5,2574000,1800,Sub-Saharan Africa
Kiribati,1800,551,24.9,17876,1800,East Asia & Pacific
North Korea,1800,579,26,4345000,1800,NA
South Korea,1800,576,25.8,9395000,1800,NA
"United Korea (former)
",1800,NA,NA,NA,NA,NA
Kosovo,1800,NA,NA,NA,1800,Europe & Central Asia
Kuwait,1800,1097,26,81280,1800,Middle East & North Africa
Kyrgyz Republic,1800,508,23.941,530343,1800,NA
Lao,1800,864,31.9,470000,1800,NA
Latvia,1800,751,33,590588,1800,Europe & Central Asia
Lebanon,1800,1081,29.7,332000,1800,Middle East & North Africa
Lesotho,1800,393,32.8,276361,1800,Sub-Saharan Africa
Liberia,1800,797,31.1,313543,1800,Sub-Saharan Africa
Libya,1800,1050,33.1,531472,1800,Middle East & North Africa
Liechtenstein,1800,NA,NA,5802,1800,Europe & Central Asia
Lithuania,1800,1270,28.9,778655,1800,Europe & Central Asia
Luxembourg,1800,1453,36.9,127030,1800,Europe & Central Asia
"Macao, China",1800,992,34.7,17311,1800,East Asia & Pacific
"Macedonia, FYR",1800,690,36.1,391865,1800,Europe & Central Asia
Madagascar,1800,573,30.5,1543133,1800,Sub-Saharan Africa
Malawi,1800,350,30.3,737000,1800,Sub-Saharan Africa
Malaysia,1800,997,30.6,287000,1800,East Asia & Pacific
Maldives,1800,842,32.647,42378,1800,South Asia
Mali,1800,603,26.408,1403398,1800,Sub-Saharan Africa
Malta,1800,781,28.7,134072,1800,Europe & Central Asia
Marshall Islands,1800,539,NA,5828,1800,East Asia & Pacific
Martinique,1800,NA,30.153,84039,1800,America
Mauritania,1800,527,32,382696,1800,Sub-Saharan Africa
Mauritius,1800,940,28.7,62865,1800,Sub-Saharan Africa
