"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","make_orig","make_lower","make_lowerclean","country","z"
"30131",2011,"Cadillac","STS AWD","Midsize Cars",3.6,"Automatic (S6)","6","All-Wheel Drive","Regular",FALSE,FALSE,FALSE,18,27,21,102,14,"Cadillac","cadillac","cadillac","USA","Midsize Cars"
"30132",2011,"Cadillac","CTS","Midsize Cars",3.6,"Manual 6-spd","6","Rear-Wheel Drive","Regular",FALSE,FALSE,FALSE,16,25,19,99,15,"Cadillac","cadillac","cadillac","USA","Midsize Cars"
"30133",2011,"Cadillac","CTS","Midsize Cars",3,"Automatic (S6)","6","Rear-Wheel Drive","Regular",FALSE,FALSE,FALSE,18,27,22,99,15,"Cadillac","cadillac","cadillac","USA","Midsize Cars"
"30134",2011,"Cadillac","CTS AWD","Midsize Cars",3,"Automatic (S6)","6","All-Wheel Drive","Regular",FALSE,FALSE,FALSE,18,26,21,97,14,"Cadillac","cadillac","cadillac","USA","Midsize Cars"
"30135",2011,"Cadillac","CTS","Midsize Cars",3,"Manual 6-spd","6","Rear-Wheel Drive","Regular",FALSE,FALSE,FALSE,16,26,19,99,15,"Cadillac","cadillac","cadillac","USA","Midsize Cars"
"30137",2011,"Mercedes-Benz","E550","Midsize Cars",5.5,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,23,18,97,14,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Midsize Cars"
"30138",2011,"Mercedes-Benz","E350 4matic","Midsize Cars",3.5,"Automatic 7-spd","6","4-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,97,14,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Midsize Cars"
"30139",2011,"Mercedes-Benz","E550 4matic","Midsize Cars",5.5,"Automatic 7-spd","8","4-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,23,18,97,14,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Midsize Cars"
"30140",2011,"Mercedes-Benz","E63 AMG","Midsize Cars",6.2,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,20,15,97,14,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Midsize Cars"
"30149",2011,"Audi","A8 L","Large Cars",4.2,"Automatic (S8)","8","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,27,21,109,13,"Audi","audi","audi","Germany","Large Cars"
"30154",2011,"Cadillac","DTS","Large Cars",4.6,"Automatic 4-spd","8","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,15,23,18,113,19,"Cadillac","cadillac","cadillac","USA","Large Cars"
"30155",2011,"Cadillac","Limousine","Large Cars",4.6,"Automatic 4-spd","8","Front-Wheel Drive","Regular",FALSE,FALSE,TRUE,12,18,14,113,19,"Cadillac","cadillac","cadillac","USA","Large Cars"
"30156",2011,"Cadillac","Funeral Coach / Hearse","Large Cars",4.6,"Automatic 4-spd","8","Front-Wheel Drive","Regular",FALSE,FALSE,TRUE,12,16,14,113,19,"Cadillac","cadillac","cadillac","USA","Large Cars"
"30159",2011,"Mercedes-Benz","S550","Large Cars",5.5,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,23,18,109,16,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Large Cars"
"30160",2011,"Mercedes-Benz","S550 4matic","Large Cars",5.5,"Automatic 7-spd","8","4-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,21,17,109,16,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Large Cars"
"30168",2011,"Audi","A4 Avant quattro","Small Station Wagons",2,"Automatic (S8)","4","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,29,24,90,28,"Audi","audi","audi","Germany","Small Station Wagons"
"30169",2011,"Audi","A3","Small Station Wagons",2,"Manual 6-spd","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,30,24,89,20,"Audi","audi","audi","Germany","Small Station Wagons"
"30170",2011,"Audi","A3","Small Station Wagons",2,"Automatic (S6)","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,22,28,24,89,20,"Audi","audi","audi","Germany","Small Station Wagons"
"30171",2011,"Audi","A3 quattro","Small Station Wagons",2,"Automatic (S6)","4","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,28,24,89,20,"Audi","audi","audi","Germany","Small Station Wagons"
"30174",2011,"Acura","RDX 2WD","Sport Utility Vehicle - 2WD",2.3,"Automatic (S5)","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,24,21,101,28,"Acura","acura","acura","Japan","Sport Utility Vehicles"
"30185",2011,"Audi","A6 Avant quattro","Midsize Station Wagons",3,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,TRUE,FALSE,18,26,21,99,34,"Audi","audi","audi","Germany","Midsize Station Wagons"
"30188",2011,"Mercedes-Benz","E350 4matic (wagon)","Midsize Station Wagons",3.5,"Automatic 7-spd","6","4-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,19,100,36,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Midsize Station Wagons"
"30245",2011,"Lincoln","MKX FWD","Sport Utility Vehicle - 2WD",3.7,"Automatic (S6)","6","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,19,26,21,NA,NA,"Lincoln","lincoln","lincoln","USA","Sport Utility Vehicles"
"30248",2011,"Cadillac","SRX 2WD","Sport Utility Vehicle - 2WD",3,"Automatic (S6)","6","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,18,25,20,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30255",2011,"Cadillac","Escalade Hybrid 2WD","Sport Utility Vehicle - 2WD",6,"Automatic (variable gear ratios)","8","Rear-Wheel Drive","Regular",FALSE,FALSE,FALSE,20,23,21,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30263",2011,"Cadillac","Escalade 2WD","Sport Utility Vehicle - 2WD",6.2,"Automatic 6-spd","8","Rear-Wheel Drive","Gasoline or E85",FALSE,FALSE,FALSE,14,18,16,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30264",2011,"Cadillac","Escalade ESV 2WD","Sport Utility Vehicle - 2WD",6.2,"Automatic 6-spd","8","Rear-Wheel Drive","Gasoline or E85",FALSE,FALSE,FALSE,14,18,16,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30275",2011,"Mercedes-Benz","ML350","Sport Utility Vehicle - 2WD",3.5,"Automatic 7-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,20,17,107,41,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Sport Utility Vehicles"
"30276",2011,"Infiniti","QX56 2WD","Sport Utility Vehicle - 2WD",5.6,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,14,20,16,NA,NA,"Infiniti","infiniti","infiniti","Japan","Sport Utility Vehicles"
"30282",2011,"Audi","Q5","Sport Utility Vehicle - 4WD",2,"Automatic (S8)","4","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,20,27,22,NA,NA,"Audi","audi","audi","Germany","Sport Utility Vehicles"
"30283",2011,"Audi","Q5","Sport Utility Vehicle - 4WD",3.2,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,23,20,NA,NA,"Audi","audi","audi","Germany","Sport Utility Vehicles"
"30284",2011,"Audi","Q7","Sport Utility Vehicle - 4WD",3,"Automatic (S8)","6","All-Wheel Drive","Premium",FALSE,TRUE,FALSE,16,22,18,NA,NA,"Audi","audi","audi","Germany","Sport Utility Vehicles"
"30285",2011,"Audi","Q7","Sport Utility Vehicle - 4WD",3,"Automatic (S8)","6","All-Wheel Drive","Diesel",TRUE,FALSE,FALSE,17,25,20,NA,NA,"Audi","audi","audi","Germany","Sport Utility Vehicles"
"30294",2011,"Lincoln","MKX AWD","Sport Utility Vehicle - 4WD",3.7,"Automatic (S6)","6","All-Wheel Drive","Regular",FALSE,FALSE,FALSE,17,23,19,NA,NA,"Lincoln","lincoln","lincoln","USA","Sport Utility Vehicles"
"30297",2011,"Cadillac","SRX AWD","Sport Utility Vehicle - 4WD",3,"Automatic (S6)","6","All-Wheel Drive","Regular",FALSE,FALSE,FALSE,17,23,19,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30298",2011,"Cadillac","SRX AWD","Sport Utility Vehicle - 4WD",2.8,"Automatic (S6)","6","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,15,22,18,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30299",2011,"Cadillac","Escalade Hybrid 4WD","Sport Utility Vehicle - 4WD",6,"Automatic (variable gear ratios)","8","4-Wheel Drive","Regular",FALSE,FALSE,FALSE,20,23,21,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30305",2011,"Cadillac","Escalade AWD","Sport Utility Vehicle - 4WD",6.2,"Automatic 6-spd","8","All-Wheel Drive","Gasoline or E85",FALSE,FALSE,FALSE,13,18,15,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30307",2011,"Cadillac","Escalade ESV AWD","Sport Utility Vehicle - 4WD",6.2,"Automatic 6-spd","8","All-Wheel Drive","Gasoline or E85",FALSE,FALSE,FALSE,13,18,14,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30311",2011,"Acura","RDX 4WD","Sport Utility Vehicle - 4WD",2.3,"Automatic (S5)","4","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,17,22,19,NA,NA,"Acura","acura","acura","Japan","Sport Utility Vehicles"
"30316",2011,"Mercedes-Benz","ML350 4matic","Sport Utility Vehicle - 4WD",3.5,"Automatic 7-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,20,17,107,41,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Sport Utility Vehicles"
"30317",2011,"Mercedes-Benz","ML550 4matic","Sport Utility Vehicle - 4WD",5.5,"Automatic 7-spd","8","4-Wheel Drive","Premium",FALSE,FALSE,FALSE,13,18,15,107,41,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Sport Utility Vehicles"
"30318",2011,"Mercedes-Benz","R350 4matic","Sport Utility Vehicle - 4WD",3.5,"Automatic 7-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,19,16,148,14,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Sport Utility Vehicles"
"30319",2011,"Mercedes-Benz","GL450 4matic","Sport Utility Vehicle - 4WD",4.7,"Automatic 7-spd","8","4-Wheel Drive","Premium",FALSE,FALSE,FALSE,13,18,15,143,16,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Sport Utility Vehicles"
"30320",2011,"Infiniti","QX56 4WD","Sport Utility Vehicle - 4WD",5.6,"Automatic (S7)","8","4-Wheel Drive","Premium",FALSE,FALSE,FALSE,14,20,16,NA,NA,"Infiniti","infiniti","infiniti","Japan","Sport Utility Vehicles"
"30349",2011,"Lexus","IS 250/IS 250C","Subcompact Cars",2.5,"Automatic (S6)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,21,30,24,82.5,11,"Lexus","lexus","lexus","Japan","Subcompact Cars"
"30350",2011,"Lexus","IS 250/IS 250C","Subcompact Cars",2.5,"Manual 6-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,19,27,22,82.5,11,"Lexus","lexus","lexus","Japan","Subcompact Cars"
"30351",2011,"Lexus","IS 250 AWD","Subcompact Cars",2.5,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,20,27,22,88,11,"Lexus","lexus","lexus","Japan","Subcompact Cars"
"30352",2011,"Lexus","IS 350/IS 350C","Subcompact Cars",3.5,"Automatic (S6)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,20,27,22,82.5,11,"Lexus","lexus","lexus","Japan","Subcompact Cars"
"30353",2011,"Lexus","IS 350 AWD","Subcompact Cars",3.5,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,25,20,88,11,"Lexus","lexus","lexus","Japan","Subcompact Cars"
"30354",2011,"Lexus","IS F","Subcompact Cars",5,"Automatic (S8)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,18,88,11,"Lexus","lexus","lexus","Japan","Subcompact Cars"
"30376",2011,"Lexus","GS 450h","Compact Cars",3.5,"Auto(AV-S6)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,22,25,23,98,9,"Lexus","lexus","lexus","Japan","Compact Cars"
"30377",2011,"Mercedes-Benz","C300","Compact Cars",3,"Automatic 7-spd","6","Rear-Wheel Drive","Premium or E85",FALSE,FALSE,FALSE,18,26,21,88,12,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Compact Cars"
"30378",2011,"Mercedes-Benz","C300 4matic","Compact Cars",3,"Automatic 7-spd","6","4-Wheel Drive","Premium or E85",FALSE,FALSE,FALSE,18,25,20,88,12,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Compact Cars"
"30401",2011,"Acura","TL 2WD","Midsize Cars",3.5,"Automatic (S5)","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,98,13,"Acura","acura","acura","Japan","Midsize Cars"
"30402",2011,"Acura","TL 4WD","Midsize Cars",3.7,"Manual 6-spd","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,98,13,"Acura","acura","acura","Japan","Midsize Cars"
"30403",2011,"Acura","TL 4WD","Midsize Cars",3.7,"Automatic (S5)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,98,13,"Acura","acura","acura","Japan","Midsize Cars"
"30404",2011,"BMW","535i","Midsize Cars",3,"Automatic (S8)","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,20,30,24,102,14,"BMW","bmw","bmw","Germany","Midsize Cars"
"30405",2011,"BMW","535i xDrive","Midsize Cars",3,"Automatic (S8)","6","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,29,23,102,14,"BMW","bmw","bmw","Germany","Midsize Cars"
"30406",2011,"BMW","550i xDrive","Midsize Cars",4.4,"Automatic (S8)","8","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,16,24,18,102,14,"BMW","bmw","bmw","Germany","Midsize Cars"
"30407",2011,"Lexus","GS 350","Midsize Cars",3.5,"Automatic (S6)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,19,26,22,98,13,"Lexus","lexus","lexus","Japan","Midsize Cars"
"30408",2011,"Lexus","GS 350 AWD","Midsize Cars",3.5,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,25,20,98,13,"Lexus","lexus","lexus","Japan","Midsize Cars"
"30409",2011,"Lexus","GS 460","Midsize Cars",4.6,"Automatic (S8)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,20,98,13,"Lexus","lexus","lexus","Japan","Midsize Cars"
"30411",2011,"Mercedes-Benz","E350","Midsize Cars",3.5,"Automatic 7-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,20,97,14,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Midsize Cars"
"30412",2011,"Mercedes-Benz","E350 Bluetec","Midsize Cars",3,"Automatic 7-spd","6","Rear-Wheel Drive","Diesel",TRUE,FALSE,FALSE,22,33,26,97,14,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Midsize Cars"
"30419",2011,"BMW","535i Gran Turismo","Large Cars",3,"Automatic (S8)","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,20,30,24,112,10,"BMW","bmw","bmw","Germany","Large Cars"
"30420",2011,"BMW","535i xDrive Gran Turismo","Large Cars",3,"Automatic (S8)","6","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,27,22,112,10,"BMW","bmw","bmw","Germany","Large Cars"
"30421",2011,"BMW","550i Gran Turismo","Large Cars",4.4,"Automatic (S8)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,15,22,18,112,10,"BMW","bmw","bmw","Germany","Large Cars"
"30422",2011,"BMW","550i xDrive Gran Turismo","Large Cars",4.4,"Automatic (S8)","8","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,15,22,17,112,10,"BMW","bmw","bmw","Germany","Large Cars"
"30423",2011,"BMW","750Li","Large Cars",4.4,"Automatic (S6)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,14,22,17,115,14,"BMW","bmw","bmw","Germany","Large Cars"
"30424",2011,"BMW","Alpina B7 SWB","Large Cars",4.4,"Automatic (S6)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,14,22,17,106,14,"BMW","bmw","bmw","Germany","Large Cars"
"30425",2011,"BMW","Alpina B7 LWB","Large Cars",4.4,"Automatic (S6)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,14,22,17,115,14,"BMW","bmw","bmw","Germany","Large Cars"
"30426",2011,"BMW","760Li","Large Cars",6,"Automatic (S8)","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,13,19,15,115,14,"BMW","bmw","bmw","Germany","Large Cars"
"30433",2011,"Lincoln","Town Car FFV","Large Cars",4.6,"Automatic 4-spd","8","Rear-Wheel Drive","Gasoline or E85",FALSE,FALSE,FALSE,16,24,19,109,21,"Lincoln","lincoln","lincoln","USA","Large Cars"
"30436",2011,"Audi","A3","Small Station Wagons",2,"Automatic (S6)","4","Front-Wheel Drive","Diesel",TRUE,FALSE,FALSE,30,42,34,89,20,"Audi","audi","audi","Germany","Small Station Wagons"
"30437",2011,"Cadillac","CTS Wagon","Small Station Wagons",3.6,"Automatic (S6)","6","Rear-Wheel Drive","Regular",FALSE,FALSE,FALSE,18,26,21,97,29,"Cadillac","cadillac","cadillac","USA","Small Station Wagons"
"30438",2011,"Cadillac","CTS Wagon AWD","Small Station Wagons",3.6,"Automatic (S6)","6","All-Wheel Drive","Regular",FALSE,FALSE,FALSE,18,26,21,97,29,"Cadillac","cadillac","cadillac","USA","Small Station Wagons"
"30439",2011,"Cadillac","CTS Wagon","Small Station Wagons",3,"Automatic (S6)","6","Rear-Wheel Drive","Regular",FALSE,FALSE,FALSE,18,27,22,97,29,"Cadillac","cadillac","cadillac","USA","Small Station Wagons"
"30440",2011,"Cadillac","CTS Wagon AWD","Small Station Wagons",3,"Automatic (S6)","6","All-Wheel Drive","Regular",FALSE,FALSE,FALSE,18,26,21,97,29,"Cadillac","cadillac","cadillac","USA","Small Station Wagons"
"30488",2011,"Lincoln","Navigator 4WD FFV","Sport Utility Vehicle - 4WD",5.4,"Automatic 6-spd","8","4-Wheel Drive","Gasoline or E85",FALSE,FALSE,FALSE,13,18,15,NA,NA,"Lincoln","lincoln","lincoln","USA","Sport Utility Vehicles"
"30489",2011,"Lincoln","Navigator 2WD FFV","Sport Utility Vehicle - 2WD",5.4,"Automatic 6-spd","8","Rear-Wheel Drive","Gasoline or E85",FALSE,FALSE,FALSE,14,20,16,NA,NA,"Lincoln","lincoln","lincoln","USA","Sport Utility Vehicles"
"30495",2011,"Mercedes-Benz","GLK350","Sport Utility Vehicle - 2WD",3.5,"Automatic 7-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,18,97,29,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Sport Utility Vehicles"
"30516",2011,"Acura","MDX 4WD","Sport Utility Vehicle - 4WD",3.7,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,21,18,NA,NA,"Acura","acura","acura","Japan","Sport Utility Vehicles"
"30517",2011,"Cadillac","Escalade Ext AWD","Sport Utility Vehicle - 4WD",6.2,"Automatic 6-spd","8","All-Wheel Drive","Gasoline or E85",FALSE,FALSE,FALSE,13,18,14,NA,NA,"Cadillac","cadillac","cadillac","USA","Sport Utility Vehicles"
"30536",2011,"Lexus","GX 460","Sport Utility Vehicle - 4WD",4.6,"Automatic (S6)","8","4-Wheel Drive","Premium",FALSE,FALSE,FALSE,15,20,17,NA,NA,"Lexus","lexus","lexus","Japan","Sport Utility Vehicles"
"30537",2011,"Lexus","LX 570","Sport Utility Vehicle - 4WD",5.7,"Automatic (S6)","8","4-Wheel Drive","Premium",FALSE,FALSE,FALSE,12,18,14,NA,NA,"Lexus","lexus","lexus","Japan","Sport Utility Vehicles"
"30542",2011,"Mercedes-Benz","GLK350 4matic","Sport Utility Vehicle - 4WD",3.5,"Automatic 7-spd","6","4-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,21,18,97,29,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Sport Utility Vehicles"
"30543",2011,"Mercedes-Benz","ML350 Bluetec 4matic","Sport Utility Vehicle - 4WD",3,"Automatic 7-spd","6","4-Wheel Drive","Diesel",TRUE,FALSE,FALSE,18,25,21,NA,NA,"Mercedes-Benz","mercedes-benz","mercedes-benz","Germany","Sport Utility Vehicles"
